base_case,best_case,total_pops,total_pushes,total_constraints
6.936426552012563,4.416411228012294,74210,74492,322485
6.87044156389311,4.40831325436011,74210,74492,322485
7.025904978159815,4.389552189502865,74210,74492,322485
6.79112647427246,4.481212173122913,74210,74492,322485
6.899748728144914,4.552451416384429,74210,74492,322485
